FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE_DAYS,AGE
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,http://ufcstats.com/fighter-details/040a74bb0a465c54,True,11218.0,30
Brendan Allen,74.0,185.0,75.0,Orthodox,1995-12-28,http://ufcstats.com/fighter-details/2f181c0467965b98,True,10513.0,28
Ben Alloway,71.0,170.0,76.0,Orthodox,1981-02-19,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,True,15938.0,43
Asu Almabayev,64.0,125.0,65.0,Orthodox,1994-01-25,http://ufcstats.com/fighter-details/8d3273573b85be09,True,11215.0,30
Bekzat Almakhan,67.0,135.0,68.0,Orthodox,1997-10-08,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,True,9863.0,27
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,http://ufcstats.com/fighter-details/91186547a7f3f758,True,17481.0,47
Thomas Almeida,67.0,145.0,70.0,Southpaw,1991-07-31,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,True,12124.0,33
Ericka Almeida,66.0,115.0,,Orthodox,1989-03-05,http://ufcstats.com/fighter-details/67a992d4cff22466,True,13002.0,35
Jailton Almeida,75.0,205.0,79.0,Orthodox,1991-06-26,http://ufcstats.com/fighter-details/41e83a89929d1327,True,12159.0,33
Lucas Almeida,71.0,145.0,71.0,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,True,12305.0,33
Cesar Almeida,73.0,185.0,74.0,Orthodox,1988-03-28,http://ufcstats.com/fighter-details/64d47ef881a437a4,True,13344.0,36
Sarah Alpar,64.0,135.0,63.0,Southpaw,1991-06-01,http://ufcstats.com/fighter-details/49b130de1da2e1bf,True,12184.0,33
Ali AlQaisi,66.0,135.0,68.0,Orthodox,1990-09-23,http://ufcstats.com/fighter-details/e87a13e02c01331d,True,12435.0,34
Victor Altamirano,68.0,125.0,70.0,Switch,1991-01-23,http://ufcstats.com/fighter-details/dc7927cd622676a7,True,12313.0,33
Sean Alvarez,72.0,235.0,,Orthodox,1971-07-14,http://ufcstats.com/fighter-details/e741536153227386,True,19446.0,53
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f,True,14882.0,40
Joel Alvarez,75.0,155.0,77.0,Orthodox,1993-03-02,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,True,11544.0,31
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,True,14982.0,41
Amilcar Alves,72.0,170.0,,Southpaw,1988-08-08,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,True,13211.0,36
Warlley Alves,71.0,185.0,72.0,Orthodox,1991-01-04,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,True,12332.0,33
Rafael Alves,68.0,155.0,68.0,Orthodox,1990-11-14,http://ufcstats.com/fighter-details/029afd138865d20a,True,12383.0,33
Sam Alvey,74.0,185.0,75.0,Southpaw,1986-05-06,http://ufcstats.com/fighter-details/d156513a19acf856,True,14036.0,38
Adlan Amagov,74.0,170.0,76.0,Orthodox,1986-10-30,http://ufcstats.com/fighter-details/1e327b281ef6a745,True,13859.0,37
Alen Amedovski,70.0,185.0,74.0,Orthodox,1988-04-06,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,True,13335.0,36
Hyder Amil,69.0,145.0,70.0,Switch,1990-05-28,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,True,12553.0,34
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,True,13119.0,35
Jaqueline Amorim,63.0,115.0,68.0,Orthodox,1995-06-24,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,True,10700.0,29
Eryk Anders,73.0,185.0,75.0,Southpaw,1987-04-21,http://ufcstats.com/fighter-details/cad24459b28592ca,True,13686.0,37
Matt Andersen,74.0,230.0,,Southpaw,1971-05-29,http://ufcstats.com/fighter-details/8738eacd62e82a32,True,19492.0,53
Andy Anderson,66.0,240.0,,,1974-07-16,http://ufcstats.com/fighter-details/9199e0735b83dd32,True,18348.0,50
Lowell Anderson,66.0,160.0,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b,True,,0
Corey Anderson,75.0,205.0,79.0,Orthodox,1989-09-22,http://ufcstats.com/fighter-details/5e4eec08896c9423,True,12801.0,35
Megan Anderson,72.0,145.0,72.0,Orthodox,1990-02-11,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,True,12659.0,34
Alex Andrade,71.0,200.0,,Orthodox,1974-05-14,http://ufcstats.com/fighter-details/1562b12763cc8d67,True,18411.0,50
Jessica Andrade,61.0,125.0,62.0,Orthodox,1991-09-25,http://ufcstats.com/fighter-details/6a1901c62ab3870f,True,12068.0,33
Viscardi Andrade,71.0,170.0,75.0,Orthodox,1984-03-08,http://ufcstats.com/fighter-details/d221ee27afc7a60e,True,14825.0,40
Jermaine Andre,67.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196,True,,0
Dylan Andrews,73.0,185.0,74.0,Switch,1979-11-15,http://ufcstats.com/fighter-details/00debc804e2b1cd4,True,16400.0,44
Reese Andy,72.0,205.0,,Orthodox,1973-03-31,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,True,18820.0,51
Collin Anglin,69.0,145.0,71.0,Orthodox,1993-02-20,http://ufcstats.com/fighter-details/047a91d3d9c79b05,True,11554.0,31
Chad Anheliger,66.0,135.0,64.0,Orthodox,1986-12-01,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,True,13827.0,37
Yoji Anjo,71.0,205.0,,Orthodox,1967-03-28,http://ufcstats.com/fighter-details/e06fd1260ac865a7,True,21015.0,57
Magomed Ankalaev,75.0,205.0,75.0,Orthodox,1992-06-02,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,True,11817.0,32
Gadzhimurad Antigulov,71.0,205.0,70.0,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/af997f7611673880,True,13757.0,37
Azunna Anyanwu,73.0,251.0,,Orthodox,1981-08-05,http://ufcstats.com/fighter-details/78d48d3874dacafd,True,15771.0,43
Shinsho Anzai,67.0,170.0,70.0,Orthodox,1985-12-01,http://ufcstats.com/fighter-details/4665f9f909cd7214,True,14192.0,38
Aoriqileng,67.0,135.0,69.0,Orthodox,1993-06-25,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,True,11429.0,31
Romie Aram,70.0,170.0,,Orthodox,1977-12-02,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,True,17113.0,46
Felipe Arantes,68.0,135.0,73.0,Orthodox,1988-02-09,http://ufcstats.com/fighter-details/71002dbc1743b9a7,True,13392.0,36
Igor Araujo,73.0,170.0,77.0,Orthodox,1980-12-06,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,True,16013.0,43
Viviane Araujo,64.0,125.0,68.0,Orthodox,1986-11-21,http://ufcstats.com/fighter-details/36541f1e6c5d4955,True,13837.0,37
Julio Arce,67.0,145.0,70.0,Southpaw,1989-10-27,http://ufcstats.com/fighter-details/1291edf2d566a71a,True,12766.0,34
Alice Ardelean,63.0,115.0,62.0,Orthodox,1992-04-19,http://ufcstats.com/fighter-details/87f8699fdcc2c404,True,11861.0,32
Dan Argueta,67.0,135.0,68.0,Southpaw,1993-08-13,http://ufcstats.com/fighter-details/e4ba58725825412d,True,11380.0,31
Andrei Arlovski,75.0,240.0,77.0,Orthodox,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f,True,16684.0,45
Garrett Armfield,66.0,135.0,70.0,Orthodox,1996-10-09,http://ufcstats.com/fighter-details/1effd880e1f1bb30,True,10227.0,28
Austin Arnett,72.0,145.0,72.0,Orthodox,1991-10-22,http://ufcstats.com/fighter-details/bf0e700106d00e55,True,12041.0,32
Akbarh Arreola,70.0,155.0,71.0,Southpaw,1983-01-14,http://ufcstats.com/fighter-details/c136b2a8852da5bd,True,15244.0,41
Matt Arroyo,70.0,170.0,72.0,Orthodox,1982-09-01,http://ufcstats.com/fighter-details/de62052b2ede65ba,True,15379.0,42
Antonio Arroyo,75.0,185.0,73.0,Orthodox,1989-07-01,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,True,12884.0,35
Cesar Arzamendia,71.0,155.0,,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/49f78022126bf4a4,True,12305.0,33
Yanal Ashmouz,69.0,155.0,69.0,Orthodox,1995-03-31,http://ufcstats.com/fighter-details/c739c2995a275314,True,10785.0,29
Askar Askarov,66.0,125.0,67.0,Orthodox,1992-10-09,http://ufcstats.com/fighter-details/b1d19449397541dc,True,11688.0,32
Cyril Asker,72.0,247.0,74.0,Orthodox,1985-12-24,http://ufcstats.com/fighter-details/9be6020024133293,True,14169.0,38
Khusein Askhabov,68.0,145.0,69.0,Orthodox,1995-02-13,http://ufcstats.com/fighter-details/5c10da56d712ac9c,True,10831.0,29
Scott Askham,75.0,185.0,75.0,Southpaw,1988-05-20,http://ufcstats.com/fighter-details/06827d70c53ff0d9,True,13291.0,36
Ben Askren,71.0,170.0,73.0,Orthodox,1984-07-18,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,True,14693.0,40
Ibo Aslan,75.0,205.0,77.0,Orthodox,1996-04-23,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,True,10396.0,28
Tom Aspinall,77.0,256.0,78.0,Orthodox,1993-04-11,http://ufcstats.com/fighter-details/399afbabc02376b5,True,11504.0,31
Junior Assuncao,69.0,145.0,72.0,Orthodox,1981-06-24,http://ufcstats.com/fighter-details/d0d7160824278840,True,15813.0,43
Raphael Assuncao,65.0,135.0,66.0,Orthodox,1982-07-19,http://ufcstats.com/fighter-details/2f13e4020cea5b38,True,15423.0,42
Rich Attonito,70.0,170.0,72.0,Orthodox,1977-06-16,http://ufcstats.com/fighter-details/210935fd21670f6d,True,17282.0,47
Olivier Aubin-Mercier,69.0,155.0,70.0,Southpaw,1989-02-23,http://ufcstats.com/fighter-details/55ee431411ccf07a,True,13012.0,35
Pat Audinwood,72.0,155.0,,Orthodox,1986-04-16,http://ufcstats.com/fighter-details/196ed28337adc630,True,14056.0,38
Marcus Aurelio,70.0,155.0,74.0,Orthodox,1973-08-18,http://ufcstats.com/fighter-details/04643fd03d9159cc,True,18680.0,51
Chris Avila,70.0,145.0,,Orthodox,1993-01-16,http://ufcstats.com/fighter-details/4665cbf36b08193b,True,11589.0,31
Julia Avila,67.0,135.0,68.0,Orthodox,1988-05-11,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,True,13300.0,36
Jessin Ayari,72.0,155.0,73.0,Orthodox,1992-05-31,http://ufcstats.com/fighter-details/6eaec40f724852f4,True,11819.0,32
Abu Azaitar,69.0,185.0,76.0,Orthodox,1986-03-10,http://ufcstats.com/fighter-details/46d0a888d87d91ac,True,14093.0,38
Ottman Azaitar,68.0,155.0,71.0,Switch,1990-02-20,http://ufcstats.com/fighter-details/ee18ff42063174df,True,12650.0,34
Hunter Azure,68.0,145.0,69.0,Orthodox,1992-03-02,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,True,11909.0,32
Niklas Backstrom,73.0,145.0,,Orthodox,1989-08-22,http://ufcstats.com/fighter-details/39cc64bf0a269db9,True,12832.0,35
Seth Baczynski,75.0,170.0,75.0,Orthodox,1981-10-26,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,True,15689.0,42
Ryan Bader,74.0,205.0,74.0,Orthodox,1983-06-07,http://ufcstats.com/fighter-details/c0ab242c40decc55,True,15100.0,41
Izabela Badurek,65.0,115.0,,Orthodox,1991-07-11,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,True,12144.0,33
Miguel Baeza,74.0,170.0,74.0,Orthodox,1992-08-23,http://ufcstats.com/fighter-details/82d4c957649faf9b,True,11735.0,32
Ali Bagautinov,64.0,125.0,65.0,Orthodox,1985-06-10,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,True,14366.0,39
Mehdi Baghdad,73.0,155.0,,Orthodox,1985-04-13,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,True,14424.0,39
Melsik Baghdasaryan,69.0,145.0,70.0,Southpaw,1992-01-28,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,True,11943.0,32
Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,1984-04-17,http://ufcstats.com/fighter-details/aec185309b4843d0,True,14785.0,40
Ignacio Bahamondes,75.0,155.0,75.0,Orthodox,1997-08-27,http://ufcstats.com/fighter-details/e4a47b07044ddd72,True,9905.0,27
Shamar Bailey,69.0,155.0,75.0,Southpaw,1982-09-22,http://ufcstats.com/fighter-details/e2b8186b618b00c4,True,15358.0,42
Scott Baker,72.0,210.0,,,,http://ufcstats.com/fighter-details/7d5b12de1625984e,True,,0
Oluwale Bamgbose,71.0,185.0,78.0,Switch,1987-08-04,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,True,13581.0,37
Marcin Bandel,70.0,155.0,,Orthodox,1989-10-10,http://ufcstats.com/fighter-details/5c2ce761399dc9c5,True,12783.0,34
Humberto Bandenay,71.0,145.0,71.0,Southpaw,1994-09-04,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,True,10993.0,30
Tae Hyun Bang,69.0,155.0,71.0,Switch,1983-04-15,http://ufcstats.com/fighter-details/9a2d3567abc02e34,True,15153.0,41
Shauna Bannon,65.0,115.0,65.0,Switch,1993-10-23,http://ufcstats.com/fighter-details/9c442aaf149ea982,True,11309.0,30
Antonio Banuelos,65.0,135.0,63.0,Orthodox,1979-09-23,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,True,16453.0,45
Renan Barao,66.0,145.0,70.0,Orthodox,1987-01-31,http://ufcstats.com/fighter-details/2c99576fefe53c7c,True,13766.0,37
Maycee Barber,65.0,125.0,65.0,Switch,1998-05-18,http://ufcstats.com/fighter-details/6a740daf1b279661,True,9641.0,26
Bryan Barberena,72.0,185.0,72.0,Southpaw,1989-05-03,http://ufcstats.com/fighter-details/a331233f597090a5,True,12943.0,35
Dione Barbosa,66.0,125.0,66.0,Orthodox,1992-05-08,http://ufcstats.com/fighter-details/27b388f0aab49780,True,11842.0,32
Edson Barboza,71.0,145.0,75.0,Orthodox,1986-01-21,http://ufcstats.com/fighter-details/64a50dad704d1d49,True,14141.0,38
Raoni Barcelos,67.0,135.0,67.0,Orthodox,1987-05-01,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,True,13676.0,37
Daniel Barez,66.0,125.0,66.0,Orthodox,1988-12-10,http://ufcstats.com/fighter-details/e8fe9c15d348e778,True,13087.0,35
Danny Barlow,74.0,170.0,79.0,Southpaw,1995-08-02,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63,True,10661.0,29
Luke Barnatt,78.0,185.0,77.0,Orthodox,1988-04-13,http://ufcstats.com/fighter-details/172c2135e70f87b7,True,13328.0,36
Josh Barnett,75.0,250.0,78.0,Orthodox,1977-11-10,http://ufcstats.com/fighter-details/ad3f53c454cbbead,True,17135.0,46
Chris Barnett,69.0,265.0,75.0,Orthodox,1986-06-14,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,True,13997.0,38
David Baron,66.0,155.0,,Switch,1973-02-15,http://ufcstats.com/fighter-details/80c0bed43da0e27b,True,18864.0,51
Phil Baroni,69.0,170.0,72.0,Orthodox,1976-04-16,http://ufcstats.com/fighter-details/1652f3213655b935,True,17708.0,48
Dan Barrera,69.0,170.0,,Orthodox,1980-12-23,http://ufcstats.com/fighter-details/f12f979b657ab876,True,15996.0,43
Carlos Barreto,76.0,230.0,,Orthodox,,http://ufcstats.com/fighter-details/a220be6d41d6f97d,True,,0
Peter Barrett,70.0,145.0,73.0,Southpaw,1986-08-10,http://ufcstats.com/fighter-details/d21113c9ff3788ae,True,13940.0,38
Marc-Andre Barriault,73.0,185.0,74.0,Orthodox,1990-02-18,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,True,12652.0,34
Alexandre Barros,69.0,170.0,,Southpaw,1976-11-19,http://ufcstats.com/fighter-details/8fd1f27e86661ede,True,17491.0,47
Francimar Barroso,73.0,205.0,75.0,Orthodox,1980-02-28,http://ufcstats.com/fighter-details/b69f24c500d783e7,True,16295.0,44
Pat Barry,71.0,235.0,74.0,Orthodox,1979-07-07,http://ufcstats.com/fighter-details/658c3465581ae46b,True,16531.0,45
Dean Barry,70.0,170.0,72.0,Orthodox,1992-07-03,http://ufcstats.com/fighter-details/a6f3d15cb84334bb,True,11786.0,32
Enrique Barzola,67.0,145.0,70.0,Orthodox,1989-04-28,http://ufcstats.com/fighter-details/be0b310a12eb80b4,True,12948.0,35
Javid Basharat,69.0,135.0,69.0,Orthodox,1995-09-07,http://ufcstats.com/fighter-details/bbab3baf66128ae2,True,10625.0,29
Farid Basharat,68.0,135.0,71.0,Orthodox,1997-08-02,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,True,9930.0,27
Stephen Bass,69.0,145.0,,Orthodox,1982-11-14,http://ufcstats.com/fighter-details/1cecc8fe6748a532,True,15305.0,41
Shayna Baszler,67.0,135.0,,Orthodox,1980-08-08,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce,True,16133.0,44
Michel Batista,75.0,260.0,,Orthodox,1984-04-20,http://ufcstats.com/fighter-details/34218661c44ed55d,True,14782.0,40
Bryan Battle,73.0,170.0,77.0,Orthodox,1994-09-21,http://ufcstats.com/fighter-details/f626118b6da0e020,True,10976.0,30
Alan Baudot,75.0,243.0,79.0,Orthodox,1988-02-01,http://ufcstats.com/fighter-details/c9a94278df042f46,True,13400.0,36
Mario Bautista,69.0,135.0,69.0,Switch,1993-07-01,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,True,11423.0,31
Chris Beal,67.0,125.0,69.0,Orthodox,1985-08-06,http://ufcstats.com/fighter-details/55f446032177b119,True,14309.0,39
Ariel Beck,66.0,125.0,66.0,Southpaw,1990-09-16,http://ufcstats.com/fighter-details/b96939f2b8d88e82,True,12442.0,34
Johnny Bedford,70.0,135.0,71.0,Orthodox,1983-01-06,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,True,15252.0,41
Rolando Bedoya,71.0,155.0,74.0,Orthodox,1997-01-13,http://ufcstats.com/fighter-details/40a456a25d52ee65,True,10131.0,27
Mirsad Bektic,68.0,145.0,70.0,Orthodox,1991-02-16,http://ufcstats.com/fighter-details/cbd3e590a85b18c5,True,12289.0,33
Diana Belbita,67.0,115.0,68.0,Orthodox,1996-06-26,http://ufcstats.com/fighter-details/d7e40dca3ae125be,True,10332.0,28
Alan Belcher,74.0,185.0,75.0,Orthodox,1984-04-24,http://ufcstats.com/fighter-details/4130a743d9d22163,True,14778.0,40
Vitor Belfort,72.0,185.0,74.0,Southpaw,1977-04-01,http://ufcstats.com/fighter-details/0ee783aa00e468f0,True,17358.0,47
Rodolfo Bellato,75.0,205.0,77.0,Orthodox,1996-02-05,http://ufcstats.com/fighter-details/69898645d600abdb,True,10474.0,28
Danilo Belluardo,72.0,155.0,74.0,Southpaw,1994-07-21,http://ufcstats.com/fighter-details/c3f6db17cea09ca7,True,11038.0,30
Joey Beltran,73.0,185.0,75.0,Orthodox,1981-12-08,http://ufcstats.com/fighter-details/46baf0f57edfa4df,True,15646.0,42
Marco Beltran,68.0,125.0,69.0,Orthodox,1986-05-18,http://ufcstats.com/fighter-details/ec71a892fada28c7,True,14024.0,38
Joseph Benavidez,64.0,125.0,65.0,Southpaw,1984-07-31,http://ufcstats.com/fighter-details/80eacd4da0617c57,True,14680.0,40
Dave Beneteau,74.0,250.0,,Orthodox,,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a,True,,0
Gabriel Benitez,68.0,155.0,71.0,Southpaw,1988-06-15,http://ufcstats.com/fighter-details/436f970c9ea9169c,True,13265.0,36
DeAnna Bennett,64.0,125.0,68.0,Orthodox,1984-11-18,http://ufcstats.com/fighter-details/404ecb2700844072,True,14570.0,39
Lance Benoist,71.0,170.0,72.0,Southpaw,1988-08-26,http://ufcstats.com/fighter-details/5431dccc09118234,True,13193.0,36
